Sr No,Service,Code,Type,Disc,BA Disc,Disc Type,Start With,Min Len,Max Len,Min Amt,Max Amt,Remarks,Status
37,BRIHAN MUMBAI ELECTRIC SUPPLY AND TRANSPORT UNDERT,BMSTU,Electricity Bill,0,0,%,*,0,0,1,10000,,Active
38,BSES RAJDHANI,BSESR,Electricity Bill,0,0,%,*,0,0,1,49999,,Active
39,BSES YAMUNA,BSESY,Electricity Bill,0,0,%,*,0,0,1,49999,,Active
40,CALCUTTA ELECTRICITY SUPPLY LTD (CESC LTD),CESL,Electricity Bill,0,0,%,*,0,0,1,10000,,Active
41,CHHATTISGARH STATE ELECTRICITY BOARD,CSEB,Electricity Bill,0,0,%,*,0,0,1,10000,,Active
42,CHAMUNDESHWARI ELECTRICITY SUPPLY CORP LTD (CESCOM,CESCO,Electricity Bill,0,0,%,*,0,0,1,10000,,Active
43,DAMAN AND DIU ELECTRICITY DEPARTMENT,DDED,Electricity Bill,0,0,%,*,0,0,1,10000,,Active
44,DAKSHIN HARYANA BIJLI VITRAN NIGAM,DHBVN,Electricity Bill,0,0,%,*,0,0,1,99999,,Active
45,DNHPDCL - DADRA & NAGAR HAVELI,DNHPD,Electricity Bill,0,0,%,*,0,0,1,10000,,Active
46,EASTERN POWER DISTRIBUTION COMPANY OF ANDHRA PRADE,EPDCA,Electricity Bill,0,0,%,*,0,0,1,10000,,Active
47,PASCHIM KSHETRA VIDYUT VITARAN - INDORE MP,MPE,Electricity Bill,0,0,%,*,0,0,1,10000,,Active
48,HUBLI ELECTRICITY SUPPLY COMPANY LTD (HESCOM),HESC,Electricity Bill,0,0,%,*,0,0,1,10000,,Active
49,INDIA POWER CORPORATION LIMITED - BIHAR,IPCLB,Electricity Bill,0,0,%,*,0,0,1,10000,,Active
50,JAMSHEDPUR UTILITIES AND SERVICES COMPANY LIMITED,JUSC,Electricity Bill,0,0,%,*,0,0,1,40000,,Active
51,JAIPUR VIDYUT VITRAN NIGAM - RAJASTHAN,JRE,Electricity Bill,0,0,%,*,0,0,1,40000,,Active
52,JODHPUR VIDYUT VITRAN NIGAM LTD,JVVNL,Electricity Bill,0,0,%,*,0,0,1,40000,,Active
53,JHARKHAND BIJLI VITRAN NIGAM LIMITED (JBVNL),JBVNL,Electricity Bill,0,0,%,*,0,0,1,10000,,Active
54,KOTA ELECTRICITY DISTRIBUTION LTD,KEDL,Electricity Bill,0,0,%,*,0,0,1,10000,,Active
55,NESCO - ODISHA,NOE,Electricity Bill,0,0,%,*,0,0,1,10000,,Active
56,POORV KSHETRA VITARAN (RURAL) - MADHYA PRADESH,MAE,Electricity Bill,0,0,%,*,0,0,1,10000,,Active
